hash_bits, num_threads, mil_tup_per_sec
1,1,8.192
1,2,6.553
1,4,6.241
1,8,6.898
1,16,4.369
1,32,2.427
2,1,8.738
2,2,7.281
2,4,7.281
2,8,6.898
2,16,4.228
2,32,2.427
3,1,8.738
3,2,7.281
3,4,6.898
3,8,6.898
3,16,4.096
3,32,2.299
4,1,8.738
4,2,7.71
4,4,7.71
4,8,6.241
4,16,4.096
4,32,2.34
5,1,8.738
5,2,8.738
5,4,8.192
5,8,6.553
5,16,4.228
5,32,2.383
6,1,8.738
6,2,8.192
6,4,8.738
6,8,6.898
6,16,3.971
6,32,2.427
7,1,8.192
7,2,8.738
7,4,8.738
7,8,6.553
7,16,4.228
7,32,2.473
8,1,8.192
8,2,8.738
8,4,8.738
8,8,6.898
8,16,4.228
8,32,2.473
9,1,8.192
9,2,8.738
9,4,8.738
9,8,6.241
9,16,4.228
9,32,2.52
10,1,7.71
10,2,8.192
10,4,8.192
10,8,6.241
10,16,4.228
10,32,2.427
11,1,6.898
11,2,7.71
11,4,8.192
11,8,5.957
11,16,4.369
11,32,2.427
12,1,6.241
12,2,7.281
12,4,7.71
12,8,6.241
12,16,4.369
12,32,2.473
13,1,5.041
13,2,6.553
13,4,7.281
13,8,5.957
13,16,4.228
13,32,2.473
14,1,4.519
14,2,6.553
14,4,7.71
14,8,5.698
14,16,4.228
14,32,2.473
15,1,3.971
15,2,5.957
15,4,6.553
15,8,5.461
15,16,4.096
15,32,1.956
16,1,3.542
16,2,4.854
16,4,5.957
16,8,4.854
16,16,3.744
16,32,2.34
17,1,3.12
17,2,4.369
17,4,5.041
17,8,3.971
17,16,3.449
17,32,2.114
18,1,2.473
18,2,3.855
18,4,4.519
18,8,3.855
18,16,3.276
18,32,2.016
