hash_bits, num_threads, mil_tup_per_sec
1,1,16.384
1,2,7.281
1,4,7.281
1,8,8.738
1,16,7.281
1,32,4.519
2,1,14.563
2,2,10.082
2,4,9.362
2,8,9.362
2,16,7.71
2,32,4.369
3,1,16.384
3,2,10.082
3,4,10.082
3,8,9.362
3,16,7.71
3,32,4.519
4,1,13.107
4,2,10.922
4,4,10.922
4,8,10.922
4,16,7.281
4,32,4.228
5,1,16.384
5,2,13.107
5,4,8.192
5,8,10.082
5,16,6.553
5,32,3.64
6,1,14.563
6,2,13.107
6,4,10.922
6,8,9.362
6,16,5.957
6,32,3.971
7,1,14.563
7,2,11.915
7,4,13.107
7,8,9.362
7,16,5.957
7,32,3.855
8,1,11.915
8,2,11.915
8,4,10.922
8,8,10.922
8,16,7.281
8,32,4.369
9,1,10.922
9,2,13.107
9,4,14.563
9,8,10.922
9,16,4.369
9,32,3.744
10,1,9.362
10,2,10.922
10,4,10.082
10,8,8.738
10,16,5.242
10,32,3.855
11,1,6.898
11,2,9.362
11,4,11.915
11,8,8.192
11,16,6.241
11,32,3.196
12,1,8.192
12,2,11.915
12,4,10.082
12,8,10.082
12,16,7.281
12,32,4.228
13,1,6.553
13,2,10.922
13,4,10.082
13,8,10.082
13,16,7.71
13,32,4.228
14,1,5.698
14,2,5.242
14,4,10.082
14,8,7.281
14,16,5.041
14,32,3.542
15,1,3.196
15,2,5.957
15,4,7.71
15,8,6.241
15,16,4.681
15,32,3.542
16,1,2.473
16,2,6.553
16,4,5.041
16,8,6.241
16,16,4.228
16,32,3.12
17,1,1.872
17,2,3.64
17,4,5.461
17,8,4.854
17,16,4.228
17,32,2.849
18,1,3.855
18,2,2.849
18,4,4.519
18,8,4.681
18,16,2.427
18,32,2.73
