hash_bits, num_threads, mil_tup_per_sec
1,1,18.724
1,2,26.214
1,4,21.845
1,8,14.563
1,16,8.738
1,32,4.854
2,1,16.384
2,2,21.845
2,4,21.845
2,8,14.563
2,16,9.362
2,32,4.369
3,1,18.724
3,2,21.845
3,4,21.845
3,8,14.563
3,16,9.362
3,32,4.854
4,1,18.724
4,2,21.845
4,4,21.845
4,8,14.563
4,16,9.362
4,32,4.681
5,1,21.845
5,2,26.214
5,4,21.845
5,8,13.107
5,16,8.738
5,32,5.041
6,1,16.384
6,2,26.214
6,4,21.845
6,8,13.107
6,16,9.362
6,32,4.854
7,1,18.724
7,2,21.845
7,4,18.724
7,8,13.107
7,16,9.362
7,32,4.369
8,1,16.384
8,2,14.563
8,4,13.107
8,8,8.192
8,16,5.957
8,32,3.971
9,1,13.107
9,2,13.107
9,4,11.915
9,8,7.281
9,16,5.957
9,32,3.971
10,1,11.915
10,2,14.563
10,4,13.107
10,8,7.71
10,16,7.281
10,32,4.228
11,1,13.107
11,2,18.724
11,4,16.384
11,8,11.915
11,16,8.192
11,32,3.36
12,1,9.362
12,2,11.915
12,4,10.922
12,8,8.192
12,16,5.957
12,32,3.36
13,1,6.898
13,2,13.107
13,4,11.915
13,8,8.192
13,16,4.681
13,32,3.276
14,1,6.241
14,2,7.71
14,4,6.553
14,8,10.922
14,16,8.192
14,32,4.519
15,1,7.281
15,2,10.082
15,4,14.563
15,8,10.922
15,16,7.71
15,32,4.369
16,1,6.898
16,2,11.915
16,4,11.915
16,8,10.082
16,16,7.281
16,32,4.369
17,1,7.281
17,2,8.738
17,4,10.922
17,8,8.738
17,16,6.241
17,32,4.096
18,1,5.957
18,2,8.192
18,4,9.362
18,8,8.192
18,16,4.228
18,32,3.36
